Station,Model,Scale_Intercept,Scale_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape,Shape_SE,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Kilagården,Stationary,9.135981481481668,NA,0.8791102000470294,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Kilagården,Exp model,2.271564451076604,-0.0017787399911875594,0.1968566054780461,0.0050972735919594114,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Kilagården,Linear model,9.669798092460436,-0.015856993904728008,1.833622302740938,0.04611378959374838,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Klippan,Stationary,10.121556074766543,NA,0.9784877222721152,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Klippan,Exp model,2.0975736871247346,0.006488187924595784,0.20413703937084915,0.005533070418761811,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Klippan,Linear model,7.931241316335508,0.06768438529686391,1.7907643230267623,0.05401406098786308,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Kristinehamn,Stationary,8.530841121495326,NA,0.8247075079481283,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Kristinehamn,Exp model,2.568870782506632,-0.013278041410824564,0.2374832468721343,0.006468515070582494,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Kristinehamn,Linear model,13.576157449370568,-0.14645951789838696,2.583095123390464,0.05952380871683144,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Ljusnedal,Stationary,6.450925925925928,NA,0.6207405920105974,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Ljusnedal,Exp model,1.9630742542433905,-0.0031816245326329426,0.1862643476713571,0.005036953878146823,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ljusnedal,Linear model,7.092555697962075,-0.020282251466993403,1.2659127507493964,0.03258497248959275,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Lund,Stationary,8.494954545454735,NA,0.8099621038493947,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Lund,Exp model,2.0358073825223575,0.0029963274539534083,0.19485461091757905,0.0049880101287720115,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Lund,Linear model,7.718531652646914,0.02272855059040107,1.4945067915810595,0.039281481294073994,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Mariestad,Stationary,9.392112612612799,NA,0.8914598489421116,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Mariestad,Exp model,2.105616479016146,0.003844481755772031,0.2106186204815547,0.00547217511258458,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Mariestad,Linear model,8.222127153984532,0.03401099883114118,1.8045831988898073,0.048988840756147414,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Mångsbodarna,Stationary,7.385321100917431,NA,0.7073854308631753,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Mångsbodarna,Exp model,2.223210332870262,-0.006552961252730807,0.2175100034938054,0.00555888598387527,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Mångsbodarna,Linear model,9.138322684678865,-0.04984813430204759,1.7868924685832301,0.04219992143070508,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ockelbo,Stationary,10.383103603603793,NA,0.9855205511983591,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Ockelbo,Exp model,2.5339764651384256,-0.006292340330068225,0.19023706178981734,0.005174249776041753,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ockelbo,Linear model,12.277269901234352,-0.059767270324529345,2.053067537381159,0.05052450672029277,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Prästkulla,Stationary,8.56090909090909,NA,0.8162506181643535,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Prästkulla,Exp model,1.8308454723888479,0.00924009097946026,0.19904732194095662,0.005328662822741017,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Prästkulla,Linear model,5.846650034804737,0.08349878656231516,1.386617538117572,0.044261024404863646,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ramsjöholm,Stationary,9.567307692307692,NA,0.9381516700756146,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Ramsjöholm,Exp model,2.1136564502893247,0.00403268769876704,0.22106733176639853,0.005615548960055201,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ramsjöholm,Linear model,8.124062661578886,0.041029090436360716,2.003062457023253,0.054461047029327324,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Saittarova D,Stationary,8.005668224299257,NA,0.7739371220599951,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Saittarova D,Exp model,2.1490724568256483,-0.0019265566395354906,0.22710084494532318,0.005697746347058642,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Saittarova D,Linear model,8.530175581880606,-0.014561871710488493,1.8342085604305658,0.04486065204945455,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Sjögärde,Stationary,8.690825688073396,NA,0.8324301021834059,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Sjögärde,Exp model,2.1072229068408452,0.0016206643057592042,0.21377705179884257,0.005663688304451815,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Sjögärde,Linear model,8.164678272203876,0.015622131006682896,1.8743382275408316,0.051385975200435495,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Säffle,Stationary,10.53090186915907,NA,1.0180606890856585,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Säffle,Exp model,2.0311307664845675,0.008959554390788656,0.20944649923478842,0.005359608557045306,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Säffle,Linear model,7.60876638656616,0.08386257769750965,1.733627816702015,0.04974158960526579,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Sörbytorp,Stationary,8.969811320754717,NA,0.8712250612948449,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Sörbytorp,Exp model,2.3097446948762697,-0.003451534762896784,0.21852858072546266,0.0057440468175371405,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Sörbytorp,Linear model,9.968958001577576,-0.02937512716211917,2.01235230224557,0.05056468151466453,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Traneberg,Stationary,8.371318181818369,NA,0.7981738357954365,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Traneberg,Exp model,1.673858803689086,0.013225234249991356,0.20602850774919815,0.005660682627760831,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Traneberg,Linear model,5.020330370288996,0.10366057942334864,1.2989088666779163,0.04353830988625069,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Ungsberg,Stationary,9.039685185185377,NA,0.8698440751903855,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Ungsberg,Exp model,2.1873505723138744,4.373005264144549e-4,0.2189619334898127,0.006034250359101306,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ungsberg,Linear model,8.89683750452027,0.004385475421667263,2.0461574717825974,0.05727074435220594,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Uppsala,Stationary,9.76,NA,0.9524784466982171,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Uppsala,Exp model,2.049397611826268,0.006531925603441689,0.21829343800747153,0.00572479262438078,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Uppsala,Linear model,7.169077610738818,0.07693646901840631,1.996011772333359,0.06014661837223509,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ytterberg D,Stationary,7.786839449541471,NA,0.7458439114849322,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Ytterberg D,Exp model,2.27129179229179,-0.0067513330737172545,0.19906090428250361,0.005196042427441289,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Ytterberg D,Linear model,9.541050821119402,-0.05229411603108539,1.7236525489549699,0.04113125413956521,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Åby,Stationary,7.646166666666855,NA,0.7257419857038893,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Åby,Exp model,1.4613443061689235,0.015914158235517787,0.22906667295086958,0.006114211955786819,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Åby,Linear model,3.4215599608527527,0.1253241114647124,1.1453003613629704,0.03976797082795437,NA,NA,NA,TRUE,61.76317590691308,1962-12-26,2024-09-30
Åkroken D,Stationary,9.430769230769231,NA,0.9247629713869087,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Åkroken D,Exp model,2.3044177986886383,-0.001816325362762351,0.21779521487216497,0.005797001684331282,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Åkroken D,Linear model,10.133840214164962,-0.020894757136141202,2.304782787804515,0.060699983941807555,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Åtorp,Stationary,6.991426605504774,NA,0.6696571764539933,NA,NA,NA,NA,NA,61.76317590691308,1962-12-26,2024-09-30
Åtorp,Exp model,1.909417396064482,0.0011789655633386187,0.1854900351402872,0.0053423458125165385,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
Åtorp,Linear model,6.749636187301597,0.008132780429203715,1.2722515741541864,0.037326350303688416,NA,NA,NA,FALSE,61.76317590691308,1962-12-26,2024-09-30
