Station,Model,Scale_Intercept,Scale_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape,Shape_SE,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,8.256551552586906,NA,1.2084483788132665,NA,-0.08699224046462811,0.10981339268224115,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Avasjö-Borgafjäll D,Exp model,2.1301737821418034,-5.710698174356144e-4,0.221302533675297,0.005002297493845331,-0.08705242443828957,0.10994496080535553,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Avasjö-Borgafjäll D,Linear model,8.400878149616577,-0.004284433243798254,1.8062851307792502,0.03944953020448948,-0.08706466967212341,0.10992275547746441,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Finnbacka D,Stationary,8.172088221419541,NA,1.0841878980561106,NA,0.032584954771118065,0.09042689592239114,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Finnbacka D,Exp model,2.2733755825061333,-0.006669827640053444,0.21138262978313674,0.006349142965641518,0.04854056176995652,0.0910423092095406,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Finnbacka D,Linear model,9.907286984299262,-0.06373697639332312,1.9698645336786118,0.05201800767418616,0.05082987538005318,0.09093109926786726,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Gendalen,Stationary,9.826842924217328,NA,1.5680799414712043,NA,-0.14248521332145797,0.12771318393050365,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Gendalen,Exp model,2.3740945280389383,-0.002648393446945153,0.21637988622290535,0.00457709867798766,-0.14259928415631673,0.12788709384697666,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Gendalen,Linear model,10.713260904201812,-0.02589004211472787,2.279947572012263,0.04509468635399891,-0.14313885280386,0.1277100769724208,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Grönliden,Stationary,6.296338832477091,NA,0.9527903189569374,NA,0.16833701358681505,0.11790584076036116,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Grönliden,Exp model,2.277343665625445,-0.012558859470848505,0.26485958468917736,0.00647964053587608,0.15475541669352147,0.12444920505255769,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Grönliden,Linear model,9.124191387760296,-0.07720750495211948,2.0049689009023317,0.040345200286793614,0.15434852986920866,0.12392833815773464,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hallstaberg,Stationary,7.03046374121993,NA,0.93607013988355,NA,0.1941819942227741,0.0951735476901262,TRUE,NA,61.76317590691308,1962-12-26,2024-09-30
Hallstaberg,Exp model,2.0561709850056165,-0.0033137902189443844,0.23573464110439782,0.006083479813990274,0.19251689464312932,0.09473523007990889,TRUE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hallstaberg,Linear model,7.9240804724317995,-0.027296995299903516,1.8743947932741925,0.04635452905760244,0.191862491792938,0.09467662247045665,TRUE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hanö A,Stationary,6.818077452098691,NA,0.9977542760047077,NA,0.16781545199810333,0.11105145043498531,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Hanö A,Exp model,1.8214285823757146,0.003305089147080268,0.2477714001829266,0.0067353686984340955,0.15548808710534298,0.11239518072819037,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hanö A,Linear model,6.072368664733909,0.025639117527674112,1.6455970490951657,0.04873347011196922,0.1536698590947871,0.11260167845453534,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Heden,Stationary,8.495009625816705,NA,1.305310561966628,NA,5.065878906250003e-7,0.12383925562705494,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Heden,Exp model,2.003010539116379,0.004677209457761976,0.26567910044750626,0.005625473019328725,-0.01031447579144508,0.12210796892567659,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Heden,Linear model,7.337708352630078,0.04036541660487559,2.07246277673706,0.04635698305892888,-0.009437318030574363,0.12251168845733382,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hyltan,Stationary,4.940863920990283,NA,0.849026680125751,NA,0.3759398900886336,0.14738327707103782,TRUE,NA,61.76317590691308,1962-12-26,2024-09-30
Hyltan,Exp model,1.3077572446430437,0.009883451758421187,0.27507487367841427,0.007066365801237366,0.32973585700700697,0.1476443941499266,TRUE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Hyltan,Linear model,3.6333855735205485,0.047147717994747686,1.1097825649628272,0.03466635698082079,0.3306115106522744,0.14798136391655534,TRUE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Härnösand,Stationary,12.699033473194383,NA,1.6697469161331326,NA,-0.1426635237910719,0.08921835747778538,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Härnösand,Exp model,2.4097585962822508,0.003955148393183306,0.2137752886215435,0.005102152281971431,-0.14675325305061926,0.08667058256428009,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Härnösand,Linear model,10.80106629735903,0.058703099641291834,2.6254562639310977,0.07112973356000173,-0.14843094784254937,0.08654855252049083,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
Håvelund,Stationary,7.2918201038231505,NA,0.9167359237344588,NA,-0.02798622095795881,0.08198597286961101,FALSE,NA,61.76317590691308,1962-12-26,2024-09-30
Håvelund,Exp model,1.8622950935443225,0.003955088282917488,0.2287983128879189,0.0061259215022326655,-0.04678224392718456,0.08744729684243514,FALSE,FALSE,61.76317590691308,1962-12-26,2024-09-30
