Station,Dataset,b0_Estimate,b0_SE,b1_Estimate,b1_SE,lr_pval,First_Observation_Date,Last_Observation_Date,Elapsed_Days,Significant
Avasjö-Borgafjäll D,Aligned,-5.62765884195112,0.20896860625767372,2.324733206867608e-5,1.5274355949486587e-5,0.12674138686639536,1963-10-01,2024-09-30,22280,FALSE
Borås,Aligned,-5.325473790313162,0.1909457773234603,2.102600691117676e-6,1.4757686600169468e-5,0.8867017054141607,1963-10-01,2024-09-30,22280,FALSE
Finnbacka D,Aligned,-5.173611782016823,0.18649106997188825,-1.7048724217389963e-5,1.522736316524702e-5,0.2620209727651801,1963-10-01,2024-09-30,22280,FALSE
Gendalen,Aligned,-5.65932609609323,0.20969571750044258,2.739573722347761e-5,1.5170065215942949e-5,0.06963301094297569,1963-10-01,2024-09-30,22280,FALSE
Grönliden,Aligned,-5.786378932830409,0.21663783871771194,3.7582529250420237e-5,1.5293255792977078e-5,0.013180329000968327,1963-10-01,2024-09-30,22280,TRUE
Hallstaberg,Aligned,-5.437993909874835,0.1973187004688708,1.0379261255918161e-5,1.4911552903594272e-5,0.48610438559890623,1963-10-01,2024-09-30,22280,FALSE
Hanö A,Aligned,-5.566050392148605,0.20523694441092066,1.8906347288120196e-5,1.5167874580157512e-5,0.21157859166557158,1963-10-01,2024-09-30,22280,FALSE
Heden,Aligned,-5.539167058176063,0.20244566146325518,1.8992389468256474e-5,1.4958285926333262e-5,0.20318541491304098,1963-10-01,2024-09-30,22280,FALSE
Hyltan,Aligned,-5.583302325490715,0.20519717456560788,2.1906369955132457e-5,1.5049487254335268e-5,0.14430412269499393,1963-10-01,2024-09-30,22280,FALSE
Härnösand,Aligned,-5.599789212116085,0.2074892782432862,2.0934559003525408e-5,1.5255133124176722e-5,0.1688155575611321,1963-10-01,2024-09-30,22280,FALSE
Håvelund,Aligned,-5.811577329770995,0.21755288242619433,4.0292595385331355e-5,1.526133689845826e-5,0.0076627719437588615,1963-10-01,2024-09-30,22280,TRUE
Höglekardalen,Aligned,-5.414587427089595,0.19991006374255604,1.6304478867671325e-6,1.547068799874962e-5,0.9160715726080517,1963-10-01,2024-09-30,22280,FALSE
Höljes,Aligned,-5.556456629515519,0.2052145248364296,1.730189827591769e-5,1.522899565515571e-5,0.25502610559328964,1963-10-01,2024-09-30,22280,FALSE
Jäckvik,Aligned,-5.580009027695755,0.20502500404202748,2.163279857502098e-5,1.5047275754032256e-5,0.14935213429064176,1963-10-01,2024-09-30,22280,FALSE
Kilagården,Aligned,-5.6756867310684935,0.21105847961564006,2.7963497994779514e-5,1.5247334826987049e-5,0.0653509420107552,1963-10-01,2024-09-30,22280,FALSE
Klippan,Aligned,-5.630039179677165,0.2095862086648423,2.2652467923125542e-5,1.5342454449271285e-5,0.138567626941011,1963-10-01,2024-09-30,22280,FALSE
Kristinehamn,Aligned,-5.570024414006412,0.20497145674601436,2.0025362812370122e-5,1.510494718477775e-5,0.18383355356645126,1963-10-01,2024-09-30,22280,FALSE
Ljusnedal,Aligned,-5.461762986191578,0.19896068205513037,1.1634223489401389e-5,1.4985566415789034e-5,0.43716311265706853,1963-10-01,2024-09-30,22280,FALSE
Lund,Aligned,-5.825819206112198,0.21786298286810934,4.212225297918007e-5,1.5218934783813334e-5,0.0051422878635926095,1963-10-01,2024-09-30,22280,TRUE
Mariestad,Aligned,-5.6658348127922205,0.20863233587099458,3.0167906017108405e-5,1.4991075384317784e-5,0.04300022729729891,1963-10-01,2024-09-30,22280,TRUE
Mångsbodarna,Aligned,-5.773285815299022,0.21542266406705204,3.7283408362753594e-5,1.5218139388376318e-5,0.01347599442781744,1963-10-01,2024-09-30,22280,TRUE
Ockelbo,Aligned,-5.3982142177008665,0.19490669912569158,7.71752671661103e-6,1.4834759417652397e-5,0.6027680913805398,1963-10-01,2024-09-30,22280,FALSE
Oxelösund,Aligned,-5.498358379343713,0.20317670084504705,1.0702821947340326e-5,1.5341020431339635e-5,0.48507968226387355,1963-10-01,2024-09-30,22280,FALSE
Prästkulla,Aligned,-5.463970523598775,0.1981719754569173,1.3397765224377937e-5,1.4856819614657215e-5,0.366635884450526,1963-10-01,2024-09-30,22280,FALSE
Ramsjöholm,Aligned,-5.84028990533087,0.22170309851542622,3.882739198381444e-5,1.5605404280485164e-5,0.012032501516773597,1963-10-01,2024-09-30,22280,TRUE
Saittarova D,Aligned,-5.904468637226766,0.22382817750907535,4.604498558873739e-5,1.549733630218449e-5,0.002613584873682795,1963-10-01,2024-09-30,22280,TRUE
Sjögärde,Aligned,-5.631293059955128,0.2067962972623681,2.736461892611274e-5,1.4961459067779395e-5,0.06613966157213069,1963-10-01,2024-09-30,22280,FALSE
Säffle,Aligned,-5.785771799914819,0.21760022356536507,3.60425632487676e-5,1.541692398208126e-5,0.01844347810412572,1963-10-01,2024-09-30,22280,TRUE
Sörbytorp,Aligned,-5.6044578847892375,0.20584235210972907,2.4417708785552664e-5,1.500177092080912e-5,0.10232933049832726,1963-10-01,2024-09-30,22280,FALSE
Traneberg,Aligned,-5.449038097481174,0.19787024949895315,1.1332254995605434e-5,1.4915377991466147e-5,0.4470301395973231,1963-10-01,2024-09-30,22280,FALSE
Ungsberg,Aligned,-5.5375836152310836,0.2042334917321598,1.5705340354408986e-5,1.5219079955488649e-5,0.301358240736611,1963-10-01,2024-09-30,22280,FALSE
Uppsala,Aligned,-5.650710018592223,0.21020177073887367,2.514669032935697e-5,1.529164396630196e-5,0.09875687577919556,1963-10-01,2024-09-30,22280,FALSE
Ytterberg D,Aligned,-5.5648838359449995,0.2042366051927429,2.0372950323010695e-5,1.5037460719949291e-5,0.17436969823746273,1963-10-01,2024-09-30,22280,FALSE
Åby,Aligned,-5.636451793732294,0.20706929393206963,2.7784950209192583e-5,1.4965714813153174e-5,0.0621209943569514,1963-10-01,2024-09-30,22280,FALSE
Åkroken D,Aligned,-5.689000576646968,0.2137779888942749,2.590985852627673e-5,1.5522322696218608e-5,0.09371226303465452,1963-10-01,2024-09-30,22280,FALSE
Åtorp,Aligned,-5.206902331224586,0.18667895392939032,-1.1226359375988836e-5,1.4983827415565988e-5,0.45336465459786024,1963-10-01,2024-09-30,22280,FALSE
Örnsköldsvik,Aligned,-5.6424820542651775,0.20879476996610957,2.6019407713475468e-5,1.5156373193464548e-5,0.08472180934266071,1963-10-01,2024-09-30,22280,FALSE
